customer_unique_id,recency,R,frequency,F,monetary,M,score,RFM_level
07c9259c1afcbd1f6b416d9985782083,572,0,1,0,1323.0,3,3,Regular
07ca2340f294d146e84ae06b1abf1c3c,262,2,1,0,887.0,2,4,Bom
07ca388c6821a8bdf63f387a1bd2f109,42,4,1,0,429.9,1,5,Muito bom
07d5b1f9bdd053347f0213187b343ac9,698,0,1,0,267.0,1,1,Ruim
07d790691c80310f11c9d6ad67215391,171,3,1,0,559.99,2,5,Muito bom
07e5b497e5fbf9b05e586baa73f8a3c7,556,0,3,2,179.97,1,3,Regular
07e5fa7bd21a068b7659dc26f245babf,287,2,2,1,858.0,2,5,Muito bom
07edb6092d391eea668598f604cb8a80,67,4,3,2,390.0,1,7,Ótimo
07f1a64852859634cccf3e52125aa854,407,1,1,0,227.99,1,2,Regular
07f4fe7018e56998864d95e97dfa1c78,208,3,1,0,449.0,1,4,Bom
07f5c42becf5d40e7778aa9953a19127,106,4,1,0,230.0,1,5,Muito bom
07f765655f560c8624267665ce23675a,139,3,3,2,469.99,2,7,Ótimo
07ff40b9ca21d36f928474447be80045,399,1,1,0,210.0,1,2,Regular
07ff81a9676efa0286ddd3f09e7c0063,84,4,12,4,320.88000000000005,1,9,Ótimo
0800b40b1751d9f66189ef534f22e03e,455,1,2,1,279.8,1,3,Regular
0804b7c052be7ad1e35eb32f8b92c5cf,207,3,1,0,689.89,2,5,Muito bom
0807baeeeaa1309effbd9a9dee41ab17,119,3,4,2,305.0,1,6,Ótimo
080da170b6d87c6c6e261c68e1673320,63,4,1,0,599.0,2,6,Ótimo
08189e909aa7bfc3a5f45b12da63c847,14,4,1,0,212.5,1,5,Muito bom
081f8c2a3da4bfd6b1aa4cbc1cff9927,527,0,1,0,245.99,1,1,Ruim
081fcabcf2d562ac20877ff0e0e11c60,106,4,1,0,349.0,1,5,Muito bom
0820b88e46f48599042bd627fe954b66,52,4,1,0,1050.0,2,6,Ótimo
0821beeb20948f233864186b1d3c06b2,541,0,1,0,105.9,0,0,Ruim
08285c6499b42230cd7a9e5bd0242164,91,4,1,0,1299.65,3,7,Ótimo
082f4a93605df980ab01581db54640d3,52,4,1,0,1699.0,3,7,Ótimo
0833dc3f1192d82bbfdad52de141bb90,355,1,1,0,206.11,1,2,Regular
08356b77e4dd0fa07cfadac1a45eaec7,490,0,1,0,629.9,2,2,Regular
083744765db229cad6129488fb24a17c,126,3,1,0,580.27,2,5,Muito bom
083e14981d81da62df32871d3c1eaab4,284,2,1,0,1050.0,2,4,Bom
0845d810b482f4d469d3c88380f4a7d5,123,3,1,0,524.9,2,5,Muito bom
085033608b541063e51eccbfe96dec31,255,2,1,0,329.9,1,3,Regular
0856272ad8bcec5b7491b8e27b12e276,29,4,1,0,549.0,2,6,Ótimo
